Domicile_code	AU2017_code	AU2017_name	Dom_average_NZDep2023	Dom_average_NZDep2023_score
1	500100	Awanui	10	1153
2	500202	Karikari Peninsula-Maungataniwha	9	1106
3	500203	Taipa Bay-Mangonui	8	1050
4	500204	Herekino	9	1109
5	500205	Ahipara	9	1096
6	500206	North Cape	10	1233
7	500207	Houhora	9	1076
8	500208	Motutangi-Kareponia	9	1104
9	500301	Kaitaia West	10	1223
10	500302	Kaitaia East	10	1224
11	500401	Kaeo	10	1197
12	500402	Mangapa-Matauri Bay	10	1146
13	500500	Kohukohu	10	1177
14	500600	Rawene	10	1251
15	500700	Omapere and Opononi	10	1192
16	500801	Hokianga North	10	1252
17	500802	Hokianga South	10	1247
100	500900	Kerikeri	5	985
19	501000	Russell	6	993
20	501100	Paihia	8	1054
21	501200	Haruru Falls	7	1025
22	501300	Opua East	7	1032
23	501400	Kawakawa	10	1169
24	501500	Moerewa	10	1230
102	501612	Opua West	4	965
103	501613	Bay of Islands	10	1123
122	501614	Kapiro	5	982
123	501615	Waitangi	5	982
105	501620	Pokere-Waihaha	9	1104
27	501631	Okaihau	8	1060
28	501632	Ohaeawai	8	1057
29	501633	Waihou Valley-Hupara	5	981
30	501634	Ngapuhi-Kaikou	10	1200
31	501700	Kaikohe	10	1261
32	501802	Opouteke-Tanekaha	6	992
34	501806	Marsden Point-Ruakaka	7	1011
35	501807	Ngunguru	4	963
37	501809	Wharekohe-Oakleigh	4	955
38	501810	Maungatapere	3	950
39	501811	Waiotira-Springfield	6	992
107	501814	Punaruku-Kiripaka	7	1023
124	501815	Bream Bay	6	986
125	501816	Waipu	4	955
126	501817	Pataua-Whareora	5	970
127	501818	Parua Bay	2	925
128	501819	Bream Head	4	964
41	502001	Springs Flat	5	983
42	502002	Three Mile Bush	2	923
43	502003	Te Hihi	1	903
108	502004	Abbey Caves	1	909
45	502005	Otaika-Portland	6	1002
46	502101	Kamo West	6	988
47	502102	Kamo East	9	1075
48	502201	Tikipunga West	9	1062
49	502202	Tikipunga East	9	1079
50	502300	Whau Valley	7	1026
51	502400	Otangarei	10	1342
52	502500	Western Hills	4	967
53	502600	Kensington	9	1076
54	502700	Mairtown	9	1070
55	502800	Regent	9	1083
56	502900	Woodhill	8	1044
57	503000	Vinetown	10	1141
58	503100	Whangarei Central	9	1114
59	503200	Riverside	8	1054
60	503300	Horahora	6	1001
61	503400	Maunu	5	970
62	503500	Raumanga East	10	1208
63	503600	Morningside	9	1093
